id1,id2,label
1097,4915,False
1097,2321,False
3819,2092,False
1141,1821,False
3186,440,False
4684,3915,False
4211,844,False
3202,23,False
2879,4701,False
2423,4701,False
2534,2960,False
249,3402,False
259,899,True
552,3014,False
2575,3363,False
2107,1020,False
1650,2829,False
3275,4219,False
152,2615,False
3619,3243,False
3639,3286,False
2690,3286,False
4577,1550,False
2544,1550,False
4597,2490,False
816,3428,False
4035,1264,False
4027,735,False
397,1884,False
1009,4998,False
102,4998,False
1191,2794,True
885,1332,False
2665,4561,False
2617,2363,False
369,4111,True
2578,4383,False
4827,1925,False
2946,4803,False
4565,1389,False
4906,1308,False
2964,3496,False
208,4867,False
834,954,False
3702,2722,False
879,1301,False
4801,1141,False
776,747,False
525,272,False
1896,3872,False
2315,2902,False
1359,1999,True
594,3113,True
629,1944,True
183,755,True
32,80,True
224,652,True
1216,4469,True
25,93,True
592,2509,True
866,4605,True
328,1483,True
2360,3014,False
619,4659,True
177,437,True
56,393,True
920,2278,True
385,1200,True
792,1083,True
95,72,True
474,1906,True
347,1659,True
605,1355,True
113,432,True
509,3416,True
160,285,True
37,212,True
165,392,True
289,245,True
1721,1927,False
847,1915,True
616,545,False
167,616,True
1010,1560,True
782,2628,True
1184,4984,True
501,504,True
269,4132,True
630,3358,False
36,86,True
806,986,True
214,114,True
1365,2474,True
223,2008,True
92,193,True
4953,448,False
272,3871,True
795,2873,True
311,877,True
2008,3985,True
2315,2902,False
1359,1999,True
594,3113,True
629,1944,True
2995,1944,False
183,755,True
32,80,True
224,652,False
224,652,False
1216,4469,True
25,93,True
592,2509,True
866,4605,True
328,1483,True
328,1483,True
2360,3014,False
619,4659,True
177,437,True
56,393,True
920,2278,True
385,1200,True
792,1083,True
95,72,True
474,1906,True
347,1659,True
605,1355,True
113,432,True
509,3416,True
160,285,True
37,212,True
165,392,True
165,392,True
289,245,True
1721,1927,False
847,1915,True
616,545,False
616,4136,False
167,616,True
1010,1560,True
782,2628,True
1184,4984,True
501,504,True
269,4132,True
630,3358,False
630,748,True
36,86,True
806,986,True
214,114,True
1365,2474,True
1365,2474,True
223,2008,True
92,193,True
4953,448,False
272,3871,True
795,2873,True
311,877,True
2008,3985,True
1582,1845,False
1085,4626,True
759,789,True
754,3560,True
2699,3887,False
1537,4852,True
491,2146,True
824,1835,True
368,828,True
39,598,True
473,2840,True
74,83,True
1298,4214,True
429,1058,True
1285,4148,True
1285,4148,True
243,584,True
457,605,True
360,2105,True
352,1846,True
399,2057,True
232,203,True
723,3353,True
555,4238,True
1527,1479,True
255,1822,True
118,173,True
986,3923,True
304,802,False
3401,1264,False
180,909,True
1076,2025,True
524,1514,True
1444,4162,True
549,244,True
164,2202,True
1029,3804,True
2609,2121,False
554,1644,True
497,4458,False
150,794,True
333,661,True
621,2768,True
107,2963,False
107,276,True
248,706,True
3121,1867,False
459,2995,True
320,4539,True
366,2460,True
4728,2196,False
871,4480,True
2629,2084,False
631,2190,True
1312,2026,True
521,3585,True
4087,600,False
187,4244,False
882,3974,True
69,311,True
244,2223,True
1570,4607,True
3863,785,False
321,1176,True
393,164,True
1235,4492,True
997,1383,True
53,89,True
2188,3120,True
2188,3120,True
2606,3477,False
161,654,True
161,654,True
412,1262,True
134,95,True
220,2313,True
854,2295,True
252,667,True
812,4909,True
120,250,True
4480,4489,False
4480,1141,False
151,780,True
447,2996,True
238,1362,True
1096,4193,True
2214,4915,False
533,2711,True
267,644,True
482,1266,True
282,991,True
797,2193,True
155,1420,True
296,602,True
4562,3610,False
694,4839,True
3932,4767,False
1156,1636,True
613,1932,True
654,1345,True
3030,374,False
2486,3084,False
369,4111,True
687,3062,True
943,4671,True
0,1,True
749,2578,True
4628,4603,False
4328,4603,False
2534,4603,False
498,2484,True
18,58,True
546,924,True
450,924,False
274,758,True
676,3531,True
970,4553,True
402,4104,False
830,3139,True
